c1	c2	rang	count	percent
p	"	874	4	0.000
i	^d	875	4	0.000
x	y	876	4	0.000
'	«	877	4	0.000
d	p	878	4	0.000
g	ˇd	879	4	0.000
r	»	880	4	0.000
g	b	881	4	0.000
u	ˇd	882	4	0.000
z	t	883	4	0.000
_	f	884	4	0.000
b	"	885	4	0.000
*	a	886	4	0.000
o	/	887	4	0.000
«	i	888	3	0.000
«	a	889	3	0.000
à	"	890	3	0.000
g	d	891	3	0.000
-	y	892	3	0.000
y	x	893	3	0.000
k	é	894	3	0.000
x	_	895	3	0.000
n	+	896	3	0.000
@	u	897	3	0.000
'	d	898	3	0.000
e	é	899	3	0.000
k	r	900	3	0.000
r	=	901	3	0.000
@	+	902	3	0.000
r	@	903	3	0.000
g	@	904	3	0.000
r	w	905	3	0.000
x	/	906	3	0.000
*	p	907	3	0.000
'	.	908	3	0.000
_	m	909	3	0.000
*	t	910	3	0.000
k	w	911	3	0.000
s	z	912	3	0.000
*	o	913	3	0.000
r	x	914	3	0.000
u	/	915	3	0.000
*	v	916	3	0.000
j	d	917	3	0.000
*	"	918	3	0.000
'	,	919	3	0.000
ˇd	.	920	3	0.000
@	t	921	3	0.000
y	w	922	3	0.000
_	r	923	3	0.000
h	l	924	3	0.000
«	l	925	3	0.000
w	-	926	3	0.000
d	w	927	3	0.000
x	l	928	3	0.000
à	+	929	3	0.000
@	i	930	3	0.000
»	)	931	3	0.000
m	x	932	3	0.000
w	l	933	3	0.000
f	"	934	3	0.000
w	n	935	3	0.000
/	u	936	3	0.000
/	.	937	3	0.000
r	+	938	3	0.000
«	c	939	3	0.000
b	_	940	3	0.000
z	)	941	3	0.000
z	w	942	3	0.000
t	_	943	3	0.000
l	(	944	3	0.000
«	p	945	3	0.000
q	s	946	3	0.000
p	j	947	3	0.000
w	b	948	2	0.000
w	r	949	2	0.000
@	d	950	2	0.000
/	q	951	2	0.000
b	h	952	2	0.000
r	(	953	2	0.000
f	_	954	2	0.000
a	=	955	2	0.000
(	=	956	2	0.000
+	s	957	2	0.000
é	_	958	2	0.000
=	)	959	2	0.000
f	)	960	2	0.000
n	ˇd	961	2	0.000
l	@	962	2	0.000
_	i	963	2	0.000
-	.	964	2	0.000
é	»	965	2	0.000
@	s	966	2	0.000
k	n	967	2	0.000
x	w	968	2	0.000
_	w	969	2	0.000
y	z	970	2	0.000
q	d	971	2	0.000
*	)	972	2	0.000
x	è	973	2	0.000
c	m	974	2	0.000
t	d	975	2	0.000
y	è	976	2	0.000
n	_	977	2	0.000
f	/	978	2	0.000
p	'	979	2	0.000
g	z	980	2	0.000
w	,	981	2	0.000
)	(	982	2	0.000
l	*	983	2	0.000
_	n	984	2	0.000
q	b	985	2	0.000
b	n	986	2	0.000
a	»	987	2	0.000
"	z	988	2	0.000
h	b	989	2	0.000
«	h	990	2	0.000
q	'	991	2	0.000
t	»	992	2	0.000
r	ˇd	993	2	0.000
_	h	994	2	0.000
o	=	995	2	0.000
«	j	996	2	0.000
"	/	997	2	0.000
c	z	998	2	0.000
+	r	999	2	0.000
q	,	1000	2	0.000
.	/	1001	2	0.000
q	n	1002	2	0.000
,	c	1003	2	0.000
-	ç	1004	2	0.000
t	f	1005	2	0.000
b	=	1006	2	0.000
m	ˇd	1007	2	0.000
l	_	1008	2	0.000
-	z	1009	2	0.000
é	/	1010	2	0.000
è	z	1011	2	0.000
b	/	1012	2	0.000
u	w	1013	2	0.000
è	f	1014	2	0.000
@	c	1015	2	0.000
@	h	1016	2	0.000
'	f	1017	2	0.000
z	v	1018	2	0.000
*	c	1019	2	0.000
c	g	1020	2	0.000
y	u	1021	2	0.000
s	(	1022	2	0.000
n	=	1023	2	0.000
«	n	1024	2	0.000
(	+	1025	2	0.000
.	ˇd	1026	2	0.000
u	(	1027	2	0.000
)	s	1028	2	0.000
f	*	1029	2	0.000
y	(	1030	2	0.000
w	t	1031	2	0.000
(	x	1032	2	0.000
e	ˇd	1033	2	0.000
"	ç	1034	2	0.000
_	e	1035	2	0.000
u	»	1036	2	0.000
.	(	1037	2	0.000
_	l	1038	2	0.000
é	*	1039	2	0.000
k	"	1040	2	0.000
c	+	1041	2	0.000
p	_	1042	2	0.000
+	,	1043	2	0.000
j	r	1044	2	0.000
=	"	1045	1	0.000
.	à	1046	1	0.000
ˇd	s	1047	1	0.000
(	*	1048	1	0.000
k	»	1049	1	0.000
c	@	1050	1	0.000
(	/	1051	1	0.000
)	=	1052	1	0.000
_	g	1053	1	0.000
a	_	1054	1	0.000
l	=	1055	1	0.000
q	-	1056	1	0.000
d	k	1057	1	0.000
s	+	1058	1	0.000
+	m	1059	1	0.000
è	o	1060	1	0.000
j	v	1061	1	0.000
n	w	1062	1	0.000
m	_	1063	1	0.000
c	=	1064	1	0.000
d	b	1065	1	0.000
f	ˇd	1066	1	0.000
x	m	1067	1	0.000
b	x	1068	1	0.000
*	e	1069	1	0.000
ˇd	f	1070	1	0.000
u	@	1071	1	0.000
«	t	1072	1	0.000
/	"	1073	1	0.000
q	.	1074	1	0.000
f	d	1075	1	0.000
,	m	1076	1	0.000
z	/	1077	1	0.000
b	p	1078	1	0.000
"	'	1079	1	0.000
é	k	1080	1	0.000
d	x	1081	1	0.000
"	*	1082	1	0.000
z	l	1083	1	0.000
)	*	1084	1	0.000
_	à	1085	1	0.000
(	k	1086	1	0.000
o	@	1087	1	0.000
«	s	1088	1	0.000
'	-	1089	1	0.000
é	z	1090	1	0.000
h	»	1091	1	0.000
a	'	1092	1	0.000
@	k	1093	1	0.000
,	a	1094	1	0.000
a	@	1095	1	0.000
"	w	1096	1	0.000
«	o	1097	1	0.000
